NODE	SUBGRPAH_ID	ORBIT	RAW_COUNT	WEIGHTED_COUNT
0	NA	0	9	9
0	NA	1	128	107,3209
0	NA	2	34	28,50711
0	NA	3	2	1,67689
0	NA	4	1192	886,77725
0	NA	5	859	581,44771
0	NA	6	2757	2051,04435
0	NA	7	71	52,81979
0	NA	8	0	0
0	NA	9	37	27,5258
0	NA	10	161	108,97914
0	NA	11	12	8,12267
0	NA	12	2	1,35378
0	NA	13	1	0,67689
0	NA	14	0	0
0	NA	15	11878	8040,08832
0	NA	16	7776	4528,62712
0	NA	17	3133	1957,74848
0	NA	18	34193	23144,8678
0	NA	19	53910	33687,27116
0	NA	20	17305	10078,17545
0	NA	21	2437	1419,27267
0	NA	22	49563	33548,65273
0	NA	23	90	60,92002
0	NA	24	3038	2056,38898
0	NA	25	1958	1223,51469
0	NA	26	966	527,87694
0	NA	27	244	165,16093
0	NA	28	229	133,36621
0	NA	29	1651	961,51792
0	NA	30	58	31,69447
0	NA	31	1917	1297,59634
0	NA	32	4562	2656,84117
0	NA	33	30	17,47156
0	NA	34	23	13,39486
0	NA	35	300	187,46395
0	NA	36	0	0
0	NA	37	0	0
0	NA	38	0	0
0	NA	39	110	68,73678
0	NA	40	187	102,18736
0	NA	41	64	37,27265
0	NA	42	6	3,27874
0	NA	43	64	37,27265
0	NA	44	0	0
0	NA	45	16	9,99808
0	NA	46	4	2,32954
0	NA	47	12	6,184
0	NA	48	31	16,94015
0	NA	49	0	0
0	NA	50	0	0
0	NA	51	0	0
0	NA	52	26	15,14201
0	NA	53	0	0
0	NA	54	1	0,62488
0	NA	55	0	0
0	NA	56	0	0
0	NA	57	0	0
0	NA	58	0	0
0	NA	59	3	1,63937
0	NA	60	2	1,03067
0	NA	61	0	0
0	NA	62	0	0
0	NA	63	0	0
0	NA	64	0	0
0	NA	65	0	0
0	NA	66	0	0
0	NA	67	0	0
0	NA	68	0	0
0	NA	69	0	0
0	NA	70	0	0
0	NA	71	0	0
0	NA	72	0	0
171599	NA	0	4	4
171599	NA	1	16	13,41511
171599	NA	2	6	5,03067
171599	NA	3	0	0
171599	NA	4	383	284,92927
171599	NA	5	48	32,49068
171599	NA	6	60	44,63644
171599	NA	7	4	2,97576
171599	NA	8	0	0
171599	NA	9	1	0,74394
171599	NA	10	0	0
171599	NA	11	0	0
171599	NA	12	0	0
171599	NA	13	0	0
171599	NA	14	0	0
171599	NA	15	3099	2097,67921
171599	NA	16	1145	666,83103
171599	NA	17	57	35,61815
171599	NA	18	19357	13102,54163
171599	NA	19	1995	1246,63524
171599	NA	20	180	104,82933
171599	NA	21	48	27,95449
171599	NA	22	160	108,30225
171599	NA	23	1	0,67689
171599	NA	24	60	40,61334
171599	NA	25	0	0
171599	NA	26	0	0
171599	NA	27	145	98,14891
171599	NA	28	3	1,74716
171599	NA	29	0	0
171599	NA	30	0	0
171599	NA	31	9	6,092
171599	NA	32	0	0
171599	NA	33	0	0
171599	NA	34	2	1,16477
171599	NA	35	26	16,24688
171599	NA	36	0	0
171599	NA	37	0	0
171599	NA	38	0	0
171599	NA	39	0	0
171599	NA	40	0	0
171599	NA	41	0	0
171599	NA	42	0	0
171599	NA	43	0	0
171599	NA	44	0	0
171599	NA	45	0	0
171599	NA	46	0	0
171599	NA	47	0	0
171599	NA	48	0	0
171599	NA	49	0	0
171599	NA	50	0	0
171599	NA	51	0	0
171599	NA	52	0	0
171599	NA	53	0	0
171599	NA	54	0	0
171599	NA	55	0	0
171599	NA	56	0	0
171599	NA	57	0	0
171599	NA	58	0	0
171599	NA	59	0	0
171599	NA	60	0	0
171599	NA	61	0	0
171599	NA	62	0	0
171599	NA	63	0	0
171599	NA	64	0	0
171599	NA	65	0	0
171599	NA	66	0	0
171599	NA	67	0	0
171599	NA	68	0	0
171599	NA	69	0	0
171599	NA	70	0	0
171599	NA	71	0	0
171599	NA	72	0	0
171601	NA	0	2	2
171601	NA	1	5	4,19222
171601	NA	2	1	0,83844
171601	NA	3	0	0
171601	NA	4	13	9,67123
171601	NA	5	5	3,38445
171601	NA	6	6	4,46364
171601	NA	7	0	0
171601	NA	8	0	0
171601	NA	9	0	0
171601	NA	10	0	0
171601	NA	11	0	0
171601	NA	12	0	0
171601	NA	13	0	0
171601	NA	14	0	0
171601	NA	15	159	107,62536
171601	NA	16	13	7,57101
171601	NA	17	4	2,49952
171601	NA	18	38	25,72178
171601	NA	19	33	20,62103
171601	NA	20	6	3,49431
171601	NA	21	0	0
171601	NA	22	4	2,70756
171601	NA	23	0	0
171601	NA	24	0	0
171601	NA	25	0	0
171601	NA	26	0	0
171601	NA	27	0	0
171601	NA	28	0	0
171601	NA	29	0	0
171601	NA	30	0	0
171601	NA	31	0	0
171601	NA	32	0	0
171601	NA	33	0	0
171601	NA	34	0	0
171601	NA	35	0	0
171601	NA	36	0	0
171601	NA	37	0	0
171601	NA	38	0	0
171601	NA	39	0	0
171601	NA	40	0	0
171601	NA	41	0	0
171601	NA	42	0	0
171601	NA	43	0	0
171601	NA	44	0	0
171601	NA	45	0	0
171601	NA	46	0	0
171601	NA	47	0	0
171601	NA	48	0	0
171601	NA	49	0	0
171601	NA	50	0	0
171601	NA	51	0	0
171601	NA	52	0	0
171601	NA	53	0	0
171601	NA	54	0	0
171601	NA	55	0	0
171601	NA	56	0	0
171601	NA	57	0	0
171601	NA	58	0	0
171601	NA	59	0	0
171601	NA	60	0	0
171601	NA	61	0	0
171601	NA	62	0	0
171601	NA	63	0	0
171601	NA	64	0	0
171601	NA	65	0	0
171601	NA	66	0	0
171601	NA	67	0	0
171601	NA	68	0	0
171601	NA	69	0	0
171601	NA	70	0	0
171601	NA	71	0	0
171601	NA	72	0	0
171602	NA	0	12	12
171602	NA	1	383	321,12426
171602	NA	2	66	55,33734
171602	NA	3	0	0
171602	NA	4	3061	2277,20231
171602	NA	5	4097	2773,2145
171602	NA	6	10481	7797,24187
171602	NA	7	220	163,66694
171602	NA	8	58	39,25957
171602	NA	9	166	123,49415
171602	NA	10	0	0
171602	NA	11	0	0
171602	NA	12	0	0
171602	NA	13	0	0
171602	NA	14	0	0
171602	NA	15	27797	18815,48534
171602	NA	16	29996	17469,22571
171602	NA	17	56429	35261,34343
171602	NA	18	84550	57230,97046
171602	NA	19	155995	97478,12772
171602	NA	20	109787	63938,32119
171602	NA	21	19941	11613,34277
171602	NA	22	228789	154864,77232
171602	NA	23	495	335,06009
171602	NA	24	14046	9507,58381
171602	NA	25	0	0
171602	NA	26	0	0
171602	NA	27	412	278,87829
171602	NA	28	1627	947,54068
171602	NA	29	0	0
171602	NA	30	0	0
171602	NA	31	9913	6710,0013
171602	NA	32	0	0
171602	NA	33	0	0
171602	NA	34	316	184,03372
171602	NA	35	1043	651,74965
171602	NA	36	1428	831,64603
171602	NA	37	5378	2938,84286
171602	NA	38	544	297,27232
171602	NA	39	905	565,51624
171602	NA	40	0	0
171602	NA	41	0	0
171602	NA	42	0	0
171602	NA	43	0	0
171602	NA	44	0	0
171602	NA	45	94	58,7387
171602	NA	46	0	0
171602	NA	47	0	0
171602	NA	48	0	0
171602	NA	49	63	36,69027
171602	NA	50	12	6,98862
171602	NA	51	187	96,36738
171602	NA	52	0	0
171602	NA	53	0	0
171602	NA	54	0	0
171602	NA	55	0	0
171602	NA	56	28	18,95289
171602	NA	57	0	0
171602	NA	58	0	0
171602	NA	59	0	0
171602	NA	60	0	0
171602	NA	61	0	0
171602	NA	62	6	3,49431
171602	NA	63	0	0
171602	NA	64	0	0
171602	NA	65	0	0
171602	NA	66	0	0
171602	NA	67	0	0
171602	NA	68	0	0
171602	NA	69	0	0
171602	NA	70	0	0
171602	NA	71	0	0
171602	NA	72	0	0
171604	NA	0	1	1
171604	NA	1	4	3,35378
171604	NA	2	0	0
171604	NA	3	0	0
171604	NA	4	22	16,36669
171604	NA	5	0	0
171604	NA	6	6	4,46364
171604	NA	7	0	0
171604	NA	8	0	0
171604	NA	9	0	0
171604	NA	10	0	0
171604	NA	11	0	0
171604	NA	12	0	0
171604	NA	13	0	0
171604	NA	14	0	0
171604	NA	15	210	142,1467
171604	NA	16	0	0
171604	NA	17	0	0
171604	NA	18	96	64,98135
171604	NA	19	66	41,24207
171604	NA	20	0	0
171604	NA	21	0	0
171604	NA	22	4	2,70756
171604	NA	23	0	0
171604	NA	24	0	0
171604	NA	25	0	0
171604	NA	26	0	0
171604	NA	27	0	0
171604	NA	28	0	0
171604	NA	29	0	0
171604	NA	30	0	0
171604	NA	31	0	0
171604	NA	32	0	0
171604	NA	33	0	0
171604	NA	34	0	0
171604	NA	35	0	0
171604	NA	36	0	0
171604	NA	37	0	0
171604	NA	38	0	0
171604	NA	39	0	0
171604	NA	40	0	0
171604	NA	41	0	0
171604	NA	42	0	0
171604	NA	43	0	0
171604	NA	44	0	0
171604	NA	45	0	0
171604	NA	46	0	0
171604	NA	47	0	0
171604	NA	48	0	0
171604	NA	49	0	0
171604	NA	50	0	0
171604	NA	51	0	0
171604	NA	52	0	0
171604	NA	53	0	0
171604	NA	54	0	0
171604	NA	55	0	0
171604	NA	56	0	0
171604	NA	57	0	0
171604	NA	58	0	0
171604	NA	59	0	0
171604	NA	60	0	0
171604	NA	61	0	0
171604	NA	62	0	0
171604	NA	63	0	0
171604	NA	64	0	0
171604	NA	65	0	0
171604	NA	66	0	0
171604	NA	67	0	0
171604	NA	68	0	0
171604	NA	69	0	0
171604	NA	70	0	0
171604	NA	71	0	0
171604	NA	72	0	0
171607	NA	0	15	15
171607	NA	1	200	167,68891
171607	NA	2	102	85,52134
171607	NA	3	3	2,51533
171607	NA	4	1299	966,37889
171607	NA	5	2241	1516,90839
171607	NA	6	16587	12339,74343
171607	NA	7	419	311,71113
171607	NA	8	3	2,03067
171607	NA	9	86	63,9789
171607	NA	10	551	372,96587
171607	NA	11	33	22,33734
171607	NA	12	1	0,67689
171607	NA	13	3	2,03067
171607	NA	14	0	0
